date,type,title
2016-09-09T04:00:00+0000,article,Mystery Surrounds Car With Gas Containers Found in Paris Near Notre Dame
2016-10-02T04:00:00+0000,article,"Kathleen Donovan, Justin Polselli"
2016-06-05T00:00:00Z,article,"Monica Ferreira, Matthew Gimlett"
2016-10-02T04:00:00+0000,article,A Civil War Classic Endures
2016-10-14T10:00:19+0000,article,"In Paris, 8 New Tours, From Art to Shopping"
2016-05-24T13:07:50+0000,article,Bees Thrive in an Unexpected Paradise: Paris
2016-11-13T18:52:31Z,article,"In Troubled Newark Archdiocese, Hoping Its New Leader Is a Pastor, Not a Prince"
2016-10-02T04:00:00+0000,article,Women’s Emergence as Terrorists in France Points to Shift in ISIS Gender Roles
2016-03-21T20:01:04Z,article,"Paid Notice: Deaths  CAPPIELLO, FRANK "
2016-03-22T00:00:00Z,article,"Paid Notice: Deaths  CAPPIELLO, FRANK A."
2016-07-18T00:00:00Z,article,3 More Reported Held in Bastille Day Truck Attack in Nice
2016-09-30T04:00:00+0000,article,"Peter L. Gerety, Oldest Archbishop Who Preached Social Justice, Dies at 104"
2016-09-10T04:00:00+0000,article,"Women in Terror Cell Were ‘Guided’ by ISIS, Paris Prosecutor Says"
2016-07-27T00:00:00Z,article,"Jacques Hamel, 85, a Beloved French Priest, Killed in His Church"
2016-03-12T00:00:00Z,article,"Gary Jeter, 61, Giants Draftee Who Starred as Rams Lineman"
2016-06-04T00:00:00Z,article,"In Paris, the Seine Rises to Highest Level Since 1982"
2016-03-29T00:00:00Z,article,"Raghavendran Ganesan, Father Saving to Return to India, Dies in Brussels Attack"
2016-01-29T11:10:59Z,blogpost,"La Tour d&rsquo;Argent, Paris Dining Temple, to Auction Furnishings and More"
2016-09-02T04:00:00+0000,article,"Move Over, Marble: Plaster Gets Pride of Place"
2016-06-16T21:15:52+0000,article,Bloomsday Is Over but Joyce Left Plenty of Trail to Trace
2016-07-02T20:03:52Z,article,"Paid Notice: Deaths  BREEN, DANIEL "
2016-07-03T00:00:00Z,article,"Paid Notice: Deaths  BREEN, DANIEL ANTHONY"
2016-12-07T05:16:16+0000,article,Temples for the Literary Pilgrim
2016-09-03T20:03:22+0000,article,"A Ranger, a Field of Wildflowers and the Retelling of Flight 93"
2016-02-28T00:00:00Z,article,"The National Park Service, at 100, Gets Its Own Film"
2016-06-23T00:00:00Z,article,A River’s Tales: The Islands of the Seine
2016-02-19T08:21:04+0000,article,"In Paris, the Secular Is the Holy"
2016-07-28T00:00:00Z,article,"French Ask Whether Priest’s Killer, Listed as a Threat, Could Have Been Stopped"
2016-07-06T10:00:06+0000,article,Francine Prose: How I Found Life-Altering Art in Alsace
2016-03-04T00:00:00Z,article,"At the Met Breuer, Thinking Inside the Box"
2017-06-06T14:46:09+0000,article,Police Shoot Attacker Outside Notre-Dame Cathedral in Paris
2017-09-28T15:10:10+0000,article,"In Paris, Worn-Out Notre-Dame Needs a Makeover, and Hopes You Can Help"
2017-09-01T16:12:34+0000,article,A Controversial Restoration That Wipes Away the Past
2017-09-24T04:05:01+0000,article,"Ashley McEnery, Patrick Jennings"
2017-11-03T19:22:22+0000,paidpost,Voyager a Quebec City
2017-08-09T08:07:48+0000,article,"Car Slams Into Soldiers in Paris Suburb, Injuring Six"
2017-10-21T22:00:01+0000,article,Selfies
2017-04-19T15:01:13+0000,article,"In Devastated Northern France, the French Flag Flies Again"
2017-06-19T15:00:27+0000,article,Armed Man Is Killed After Driving Into Police Convoy on Champs-Élysées
2017-09-28T21:59:37+0000,article,"Puerto Rico, Luther Strange, Hugh Hefner: Your Thursday Evening Briefing"
2017-09-29T04:11:56+0000,article,"Spain, ‘Brexit,’ Puerto Rico: Your Friday Briefing"
2017-06-21T09:19:19+0000,article,Brussels Train Station Bombing Renews Focus on Belgium as Jihadist Base
2017-02-12T06:00:14+0000,article,"What’s on TV Sunday: Grammys, ‘Girls’ and John Oliver"
2017-04-14T16:55:44+0000,article,"Paris Tourism Has Recovered From 2015 Attacks, Officials Say"
2017-05-12T19:56:20+0000,article,A Worldly Accomplishment Is Rewarded With a Heavenly One
2017-06-06T21:49:05+0000,article,"London, Qatar, Saudi Arabia: Your Tuesday Evening Briefing"
2017-02-09T20:49:31+0000,article,Paris to Increase Security Around Eiffel Tower
2017-06-07T04:03:55+0000,article,"Qatar, Theresa May, Paris: Your Wednesday Briefing"
2017-06-06T19:56:50+0000,article,"London, Qatar, Saudi Arabia: Your Morning Briefing"
2017-04-04T02:00:16+0000,article,"Review: ‘Amélie’ Is Easy to Listen To, but Never Really Sings"
2017-02-10T12:01:58+0000,article,"Four in France, Including 16-Year-Old Girl, Are Held in Bomb Plot"
2017-08-08T09:00:46+0000,article,A Perfume Devotee in the Land of French Fragrance
2017-02-01T10:00:37+0000,article,"Before Matt Ryan’s Ascent, a Quiet Grounding in the Quaker Way"
2017-02-07T19:25:55+0000,article,Our Articles on the Attacks Trump Says the Media Didn’t Cover
2017-02-04T10:00:40+0000,article,Not ‘Lone Wolves’ After All: How ISIS Guides World’s Terror Plots From Afar
2018-12-28T12:00:04+0000,article,"At Notre Dame, Football Tradition Makes Room for Financial Reality"
2018-06-22T04:24:32+0000,article,We Louvre The Carters
2018-05-15T03:45:05+0000,article,Sons of Immigrants Prop Up a Symbol of ‘Frenchness’: The Baguette
2018-05-04T09:00:08+0000,article,"Eavesdropping on Beauvoir, Sartre and Their Circle of Friends"
2018-11-09T02:45:36+0000,article,Review: ‘King Kong’ Is the Mess That Roared
2018-07-27T09:00:06+0000,article,Tired of Paying a Big Tax to Leave Britain? Here’s How to Skip It
2018-12-03T10:35:18+0000,article,"OPEC, China, France: Your Monday Briefing"
2018-05-30T21:45:07+0000,article,"The Pyramids of Giza Are Near a Pizza Hut, and Other Sites That May Disappoint You"
2018-09-27T09:00:04+0000,article,36 Hours in Montreal
2018-09-06T09:00:11+0000,article,36 Hours in Paris: On the Seine
2018-03-09T15:48:05+0000,article,Times Scholarship Winners Excelled Through Adversity
2018-06-18T16:27:36+0000,article,Pete Buttigieg Might Be President Someday. He’s Already Got the First Man.
2018-10-22T00:28:21+0000,multimedia,Why They Stay. Why They Can’t: New York Catholics Wrestle With Their Faith Over Abuse Allegations
2018-06-17T04:00:01+0000,article,This Week’s Wedding Announcements
2018-03-30T09:00:17+0000,article,Top Private Schools Bring In the Power Elite (and the Power Forwards)
2018-04-06T20:43:35+0000,article,This Week’s Wedding Announcements
2018-11-18T05:30:00+0000,article,This Week’s Wedding Announcements
2018-04-30T09:00:10+0000,multimedia,Celebrate! 9 European Festivals Worth Traveling For
2019-04-15T22:19:08+0000,multimedia,How the Notre-Dame Cathedral Fire Spread
2019-04-15T19:18:15+0000,article,Notre-Dame Cathedral: Facts and a Brief History
2019-04-16T13:42:18+0000,article,What Does Notre-Dame Cathedral Mean to You?
2019-04-15T19:43:17+0000,article,How the Fire at Notre-Dame Cathedral Unfolded
2019-04-16T07:31:12+0000,article,How the Fire at Notre-Dame Cathedral Unfolded
2019-04-15T17:27:06+0000,article,Fire Mauls Beloved Notre-Dame Cathedral in Paris
2019-04-16T07:31:10+0000,article,Notre-Dame Cathedral Burns: Five Facts
2019-04-15T19:13:41+0000,article,Notre-Dame Cathedral Burns: Five Facts
2019-04-15T19:13:33+0000,article,Factbox: Notre-Dame Cathedral Burns-Five Facts
2019-04-15T22:54:56+0000,article,Some Facts and Figures About the Notre Dame Cathedral
2019-04-16T06:42:55+0000,article,Some Facts and Figures About Notre Dame Cathedral
2019-04-15T19:57:18+0000,article,Fire at Notre-Dame Cathedral Leads to Expressions of Heartbreak Across the World
2019-04-15T17:34:35+0000,article,Massive Fire Engulfs Beloved Notre Dame Cathedral in Paris
2019-04-15T18:01:12+0000,article,Trump Voices Horror at Notre Dame Cathedral Blaze in Paris
2019-04-15T17:19:38+0000,article,Fire Guts Notre-Dame Cathedral in Paris; Macron Pledges to Rebuild
2019-04-15T18:07:29+0000,multimedia,Full Video: Fire at Notre-Dame Cathedral in Paris
2019-04-15T17:54:34+0000,multimedia,Scenes of Destruction From the Notre-Dame Cathedral Fire
2019-04-15T20:51:55+0000,article,"Around World,' Our Hearts Ache' at Notre Dame Cathedral Fire"
2019-04-15T20:04:28+0000,article,UK PM May Says Her Thoughts Are With France as Notre-Dame Cathedral Hit by 'Terrible Blaze'
2019-04-16T15:01:20+0000,article,Factbox: Donors Pledge Over 700 Million Euros to Rebuild Notre-Dame Cathedral
2019-04-16T18:54:54+0000,article,"Notre-Dame, a Cathedral of Imagination and Memory"
2019-04-15T22:30:50+0000,article,"Notre-Dame Cathedral, Mueller Report, Boston Marathon: Your Monday Evening Briefing"
2019-04-15T19:04:17+0000,article,Pictures of Notre-Dame Before the Fire: A Cathedral That Defined a City
2019-04-16T19:57:21+0000,article,"Notre Dame, the University, Knows What It’s Like to Be Devastated by Fire"
2019-04-16T17:37:37+0000,article,Notre-Dame Photos: A Fire and Its Aftermath
2019-04-16T16:10:50+0000,article,Notre-Dame’s Bells Will Toll Again
2019-04-16T16:49:57+0000,article,Standing Vigil for Notre-Dame
2019-04-15T23:21:53+0000,article,Despair and Grief Amid the Smoke and Flames of Notre-Dame.
2019-04-16T00:03:12+0000,article,What We Know and Don’t Know About the Notre-Dame Fire
2019-04-16T20:51:01+0000,article,A World of Heartbreak Over Notre-Dame
2019-04-16T05:49:38+0000,article,"Notre-Dame Appears Structurally Sound After Fire, as Investigators Look for Cause"
2019-04-15T23:55:23+0000,article,We Were the Caretakers of Notre Dame. We Failed.
2019-04-16T14:49:59+0000,article,A Miracle of Timing: The Statues That Escaped the Notre-Dame Fire
2019-04-16T02:36:31+0000,article,Fate of Priceless Cultural Treasures Uncertain After Notre-Dame Fire
2019-04-16T02:39:40+0000,article,From the Ashes of Notre-Dame
2019-04-16T01:12:46+0000,article,A France in Turmoil Weeps for a Symbol of Paris’s Enduring Identity
