date,type,title
2016-11-23T00:45:41+0000,article,Notre Dame to Appeal Ruling on Academic Cheating by Football Players
2016-12-08T03:23:58+0000,article,UConn Brushes Aside Notre Dame for 83rd Straight Victory
2016-03-27T00:00:00Z,article,"For Notre Dame’s Star Guard, Family Came First"
2016-03-21T04:00:00Z,article,Last-Second Tip-In Shines Spotlight on a Notre Dame Guard
2016-06-05T23:55:56Z,article,Bobby Williams Dies at 86; Led Undefeated Notre Dame to a Title in 1949
2016-02-15T00:00:00Z,article,"Johnny Lattner, Versatile Heisman-Winning Halfback With Notre Dame, Dies at 83"
2016-03-28T00:00:00Z,article,Top-Seeded North Carolina Fills Last Spot in Final Four
2016-09-09T04:00:00+0000,article,Mystery Surrounds Car With Gas Containers Found in Paris Near Notre Dame
2016-11-25T08:21:00+0000,article,Colombia’s Peace Agreement
2016-10-07T12:10:16+0000,article,When the Next Hurricane Hits Texas
2016-03-26T00:00:00Z,article,"With ‘I-95 Edge,’ Irish Show Badgers the Exit"
2016-10-22T02:22:18+0000,article,More Coveted Than a Sack? A Jersey With a Single Digit
2016-09-26T03:46:36+0000,article,Red Sox Win in 10th Inning on Dustin Pedroia’s Dodged Tag
2016-08-01T07:21:05+0000,article,How Religion Can Lead to Violence
2016-12-31T16:38:43+0000,article,Giants’ Romeo Okwara Casts a Thoughtful Eye on the World
2016-11-11T21:12:25Z,article,"At Army, Winning Is No Longer a Jolt to the System"
2016-07-23T00:00:00Z,article,"Deciding on the Consecrated Life, With the Help of Speed Dating"
2016-03-21T03:29:28+0000,article,Thomas Walkup Sheds Tears Over What Might Have Been
2016-12-10T04:41:07+0000,article,"Corrections: December 10, 2016"
2016-03-21T00:00:00Z,article,N.C.A.A. Favorites End a Few Charmed Runs
2016-08-15T04:00:00+0000,article,"Kenny Baker, the R2-D2 Robot in ‘Star Wars,’ Dies at 81"
2016-01-15T00:00:00Z,article,Ohio State in High-Priced Apparel Deal
2016-04-04T04:00:00Z,article,Brothers Prepare for N.C.A.A. Title Face-Off
2016-09-21T04:00:00+0000,article,"Donald Trump Used Over $250,000 From Charity for Business Disputes, Report Says"
2016-03-21T20:01:04Z,article,"Paid Notice: Deaths  CAPPIELLO, FRANK "
2016-12-26T04:59:57+0000,article,"No Detail’s Too Small for Alabama: It Landed the Top Long Snapper, Too"
2016-10-11T14:58:15+0000,article,Rutgers’s Move to Big Ten Is a Win-Win Everywhere but the Field
2016-11-04T16:39:00+0000,article,Dreading a President Clinton or Trump? How to Try a New Country
2016-11-04T00:45:23Z,article,Seeing the New York City Marathon From the Other Side of the Starting Line
2016-11-01T00:34:11+0000,article,A.P. Poll About to Take a Back Seat to College Football Playoff Rankings
2016-11-22T20:52:10+0000,article,Northwestern Basketball Team Becomes Good Enough to Dream
2016-04-26T00:00:00Z,article,"1916 Easter Rising in Ireland, a Milestone of Foreign Reporting"
2016-03-18T01:30:58+0000,article,"For Players, Classes Don’t End Just Because the Games Begin"
2016-10-04T14:24:00+0000,article,"A.C.C. May Add a Ninth Conference Game, for Money and for Fairness"
2016-11-23T11:00:17+0000,article,Who’s Likely to Make the College Football Playoff (Besides Alabama)
2016-03-22T00:00:00Z,article,"Paid Notice: Deaths  CAPPIELLO, FRANK A."
2016-12-10T21:05:32+0000,article,"Eventually, the N.H.L., but First, the Minnesota State Title"
2016-08-04T15:00:38+0000,article,Renée Fleming’s Favorite Cities
2016-07-18T00:00:00Z,article,3 More Reported Held in Bastille Day Truck Attack in Nice
2016-09-30T04:00:00+0000,article,"Peter L. Gerety, Oldest Archbishop Who Preached Social Justice, Dies at 104"
2016-03-28T01:20:06+0000,article,‘Big Boy League’ A.C.C. Rules the Final Four
2016-12-30T18:23:10+0000,article,"Want to Play Football at Ohio State or Clemson? Try Playing Other Sports, Too"
